DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	14q21.3	14	49293816		RPL18P1 - ATP5MC2P2	ENSG00000242417	ENSG00000258401		803382	80150	rs10131930-A	rs10131930	0	10131930	intergenic_variant	1	NR	2E-6	5.698970004336019		0.91	[0.87-0.94]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	15q26.1	15	91423501		CRAT37			ENSG00000258551			rs8036969-G	rs8036969	0	8036969	intron_variant	0	NR	9E-6	5.045757490560675		1.11	[1.06-1.16]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	17q23.2	17	60989480		BCAS3			ENSG00000141376			rs11314373-G	rs11314373	0	11314373	intron_variant	0	NR	6E-6	5.221848749616356		1.07	[1.03-1.11]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	18p11.31	18	3938439		DLGAP1			ENSG00000170579			rs1442386-G	rs1442386	0	1442386	intron_variant	0	NR	1E-6	6.0		0.93	[0.9-0.96]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	19q13.32	19	45871387		FOXA3			ENSG00000170608			rs35497065-G	rs35497065	0	35497065	intron_variant	0	NR	6E-6	5.221848749616356		0.93	[0.9-0.96]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	1p36.22	1	10736809		CASZ1			ENSG00000130940			rs880315-C	rs880315	0	880315	intron_variant	0	NR	1E-6	6.0		1.09	[1.05-1.13]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	1q41	1	222557152		HHIPL2 - TAF1A	ENSG00000143512	ENSG00000143498		9048	750	rs74148131-T	rs74148131	0	74148131	intergenic_variant	1	NR	7E-7	6.154901959985743		0.92	[0.89-0.95]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA											rs66839615-G	rs66839615	0	34379424		1	NR	2E-10	9.698970004336019		0.9	[0.86-0.93]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	2p16.1	2	54844631		EML6			ENSG00000214595			rs76620146-G	rs76620146	0	76620146	intron_variant	0	NR	9E-9	8.045757490560675		1.18	[1.11-1.25]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	2p11.2	2	85959072		ST3GAL5 - POLR1A	ENSG00000115525	ENSG00000068654		53873	61144	rs73943920-T	rs73943920	0	73943920	intergenic_variant	1	NR	4E-6	5.3979400086720375		1.1	[1.05-1.14]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
